intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
29110000,0.01562781848323727,0.8631578947368421,0.01562781848323727,0.007418746406886178,3.8833047062864994,3.0,7.08420809486896,/Users/emilycpweiss/Downloads/genbank-2022-4/signatures/d8d79dd301038304f2ca0195a8bfc03c.sig.gz,"GCA_017657125.1 Scopulariopsis brevicaulis strain=MRI360, ASM1765712v1",d8d79dd301038304f2ca0195a8bfc03c,0.8631578947368421,29110000,0,109798000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8744573988823819,0.9952642285108722,0.934860813696627,0.9952642285108722,False,113043,113043,15237480,Eukaryota;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis;Scopulariopsis brevicaulis
9764000,0.005241841967376459,0.8200907105661012,0.005241841967376459,0.0017458267377545367,2.7244981564932407,2.0,4.372562820206202,/Users/emilycpweiss/Downloads/genbank-2022-4/signatures/a8ede917705cd4ecc3d0ec6c096a29a6.sig.gz,"GCA_000006445.2 Debaryomyces hansenii CBS767 strain=CBS767, ASM644v2",a8ede917705cd4ecc3d0ec6c096a29a6,0.8200907105661012,9764000,1,100034000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8441798182165261,0.9936223491900611,0.9189010837032936,0.9936223491900611,False,26602,139645,15237480,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces hansenii;Debaryomyces hansenii CBS767
4798000,0.002575825251891873,0.1487216085391585,0.00257314098214209,0.00042027946878355214,1.3361151679532652,1.0,1.5392167096843234,/Users/emilycpweiss/Downloads/genbank-2022-4/signatures/67129159ae2ce764c43409650b7061bd.sig.gz,"GCA_013618395.1 Fusarium domesticum strain=NRRL 29976, ASM1361839v1",67129159ae2ce764c43409650b7061bd,0.14887675313392082,4793000,2,95241000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8250517201268062,0.9404094755274037,0.882730597827105,0.9404094755274037,False,6404,146049,15237480,Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium domesticum
4296000,0.002306324569013649,0.9544545656520773,0.002306324569013649,0.0538079131194922,190.85125698324023,227.0,131.04215559904313,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_004745495.1 Brevibacterium aurantiacum strain=L261, ASM474549v1",778a4bba920235eef43054ba12c7e9c3,0.9544545656520773,4296000,3,90945000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8221156525165219,0.9984974126904758,0.9103065326034988,0.9984974126904758,False,819897,965946,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium aurantiacum
4113000,0.002208080296171587,0.9589073079617091,0.0022048591724718476,0.022688134783441883,84.17579741904066,71.0,157.6302110530715,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_002332305.1 Brachybacterium alimentarium strain=341_9, ASM233230v1",9fab8c7ed022d701192da4bc130db8d1,0.9603081951902872,4107000,4,86838000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8209620089772275,0.9986943689051883,0.9098281889412079,0.9986943689051883,False,345710,1311656,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium alimentarium
3941000,0.002115741416779048,0.8412486064659978,0.0020255499531863356,0.01678748716979448,67.79724357275377,47.0,219.97545817100576,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_014897585.1 Brachybacterium tyrofermentans strain=FME25, ASM1489758v1",484a112af99cb08baf26233e71e30bc9,0.8787068004459309,3773000,5,83065000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8198314973746053,0.995837590254536,0.9078345438145706,0.995837590254536,False,255799,1567455,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium tyrofermentans
3540000,0.0019004629828464426,0.9752066115702479,0.0019004629828464426,0.0024402985270530297,10.503954802259887,5.5,58.08368924328887,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_002332255.1 Halomonas sp. JB37 strain=JB37, ASM233225v1",06e28457623bdc54792800ffb24c2265,0.9752066115702479,3540000,6,79525000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8169985230886864,0.9991904594313362,0.9080944912600113,0.9991904594313362,False,37184,1604639,15237480,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. JB37
3481000,0.0018687885997990018,0.8529411764705882,0.001805976687654077,0.0026041051407450578,11.795481569560048,4.0,198.107094059757,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_004745075.1 Brevibacterium sp. S111 strain=S111, ASM474507v1",3c41caea215bbb8561eb3f1ff5a3c59d,0.882606490872211,3364000,7,76161000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8165556950508159,0.9959798500125698,0.9062677725316929,0.9959798500125698,False,39680,1644319,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. S111
3381000,0.0018151032048033396,0.9015684153596538,0.0017898710691553784,0.009006147998225428,41.161067786442715,26.0,251.77445278853097,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_900169375.1 Brevibacterium sp. Mu109 strain=Mu109, Assembly_BSP109",eeb6fa92d0757a4b0b2ddf601bc4cafa,0.9142779881016766,3334000,8,72827000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.8157882805731649,0.9971131874851019,0.9064507340291335,0.9971131874851019,False,137231,1781550,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. Mu109
3162000,0.0016975321897628394,0.8489740082079343,0.0016658578067153987,0.0056725259032333435,27.855301321301965,7.0,117.35161368461834,/Users/emilycpweiss/Downloads/genbank-2022.03-bacteria-k31.zip.download/genbank-2022.03-bacteria-k31.zip,"GCA_900163665.1 Frigoribacterium sp. JB110 strain=JB110, ASM90016366v1",c915de6a3508d3b405f8903171a1c8a4,0.8651162790697674,3103000,9,69724000,/Users/emilycpweiss/medaka/rawsr/wh2mon_2.fq.gz,whi2sr,b194a257,1862704000,31,DNA,1000,1862704,True,0.814027901423078,0.9953369910831356,0.9046824462531068,0.9953369910831356,False,86435,1867985,15237480,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Frigoribacterium;Frigoribacterium sp. JB110
